aspect,records,review_status,canonical_aspect,suggested_cluster,reviewed_cluster,suggested_path,ontology_path,thesis_note
administrative,1,needs_review,women's environmental action,Other,Financial Sustainability,,Manual review -> women's environmental action,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
pengurangan plastik sekali pakai,1,needs_review,commitment to business transformation and sustainable ecosystem,Other,Financial Sustainability,,Manual review -> commitment to business transformation and sustainable ecosystem,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
ekspansi jaringan gerai,1,needs_review,"outcome of transformation creating sustainable added value, business resilience, and stakeholder benefits",Other,Community Relations,,"GRI 413 Local Communities -> outcome of transformation creating sustainable added value, business resilience, and stakeholder benefits","Community impact, CSR, and stakeholder-engagement wording map to GRI 413 Local Communities 2016."
jaringan gerai ritel,1,needs_review,"sustainability efforts depend on innovation, operational efficiency, and stakeholder collaboration",Other,Human Capital,,"GRI 401-404 Employment and Training -> sustainability efforts depend on innovation, operational efficiency, and stakeholder collaboration",Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
identifikasi isu material,1,needs_review,"to realize sustainability, encouraging solidarity as a principle for the company and employees",Other,Human Capital,,"GRI 401-404 Employment and Training -> to realize sustainability, encouraging solidarity as a principle for the company and employees",Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
peringkat esg,1,needs_review,solidarity is key to developing operations and businesses aware of environmental and social impacts,Other,Community Relations,,GRI 413 Local Communities 2016 -> solidarity is key to developing operations and businesses aware of environmental and social impacts,"Community impact, CSR, and stakeholder-engagement wording map to GRI 413 Local Communities 2016."
penjaminan laporan,1,needs_review,"through solidarity, hoping to realize strong commitment to gradually implement sustainability in operations and business",Other,Governance & Ethics,,"GRI 3 Material Topics 2021 -> through solidarity, hoping to realize strong commitment to gradually implement sustainability in operations and business",Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
verifikasi independen,1,needs_review,"this is the company's effort to achieve sustainable performance, implemented through business transformation",Other,Financial Sustainability,,"Manual review -> this is the company's effort to achieve sustainable performance, implemented through business transformation",No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
kemitraan strategis,1,needs_review,"through financial restructuring, hopes to optimize and increase cost efficiency, leading to improved competitiveness and excellence",Other,Financial Sustainability,,"GRI 201 Economic Performance -> through financial restructuring, hopes to optimize and increase cost efficiency, leading to improved competitiveness and excellence","Economic value, financial performance, and financial-inclusion wording map to GRI 201 Economic Performance 2016."
penunjukan strategis bpkh,1,needs_review,"with these achievements, can maintain cultural and environmental synergies",Other,Financial Sustainability,,"Manual review -> with these achievements, can maintain cultural and environmental synergies",No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
prb unep fi,1,needs_review,"waskita's 2021 sustainability performance focused on economic value distribution, reducing negative environmental impacts, and community empowerment through csr",Other,Community Relations,,"GRI 413 Local Communities -> waskita's 2021 sustainability performance focused on economic value distribution, reducing negative environmental impacts, and community empowerment through csr",Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
pembiayaan umkm,1,needs_review,"for past achievements, future business growth will be stronger, towards maximum and sustainable long-term contribution",Other,Financial Sustainability,,"Manual review -> for past achievements, future business growth will be stronger, towards maximum and sustainable long-term contribution",No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
pilot project thi,1,needs_review,"company established, committed to providing best quality infrastructure through superior construction products and services",Other,Financial Sustainability,,"Manual review -> company established, committed to providing best quality infrastructure through superior construction products and services",No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
klasifikasi tkbi,1,needs_review,"in 2025, positive performance with 131.15% increase in new contract value compared to 2024",Other,Financial Sustainability,,"Manual review -> in 2025, positive performance with 131.15% increase in new contract value compared to 2024",No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
persiapan crms,1,needs_review,"as of 2025, the company has worked on various projects with advanced technology, including soekarno-hatta airport, siwabessy multipurpose reactor, and muara karang thermal power plant",Other,Waste & Pollution,,"GRI 306 Waste / GRI 303 Water -> as of 2025, the company has worked on various projects with advanced technology, including soekarno-hatta airport, siwabessy multipurpose reactor, and muara karang thermal power plant","Water withdrawal, water management, and effluent topics map to GRI 303 Water and Effluents 2018."
peningkatan pembiayaan hijau,1,needs_review,completed various high-rise buildings with good reputation,Other,Financial Sustainability,,Manual review -> completed various high-rise buildings with good reputation,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
program beasiswa,1,needs_review,"additionally, waskita's projects are in uae, saudi arabia, timor leste, and malaysia",Other,Financial Sustainability,,"Manual review -> additionally, waskita's projects are in uae, saudi arabia, timor leste, and malaysia",No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
prospek pertumbuhan,1,needs_review,becoming a leading company in building a sustainable ecosystem,Other,Financial Sustainability,,Manual review -> becoming a leading company in building a sustainable ecosystem,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
strategi ekspansi,1,needs_review,"explanation of vision: leading means impacting profit, people, planet, life; sustainable means creating balance with profit, people, planet, life",Other,Financial Sustainability,,"GRI 201 Economic Performance -> explanation of vision: leading means impacting profit, people, planet, life; sustainable means creating balance with profit, people, planet, life","Economic value, financial performance, and financial-inclusion wording map to GRI 201 Economic Performance 2016."
visi perusahaan,1,needs_review,biodiversity management,Other,Biodiversity & Land,,GRI 304 Biodiversity -> biodiversity management,"Biodiversity and land-rehabilitation wording should redirect to GRI 101 Biodiversity 2024, which supersedes GRI 304."
pengembangan produk,1,needs_review,biodiversity policy and procedures,Other,Biodiversity & Land,,GRI 304 Biodiversity -> biodiversity policy and procedures,"Biodiversity and land-rehabilitation wording should redirect to GRI 101 Biodiversity 2024, which supersedes GRI 304."
organisasi inklusif,1,needs_review,biodiversity impact prevention,Other,Biodiversity & Land,,GRI 304 Biodiversity -> biodiversity impact prevention,"Biodiversity and land-rehabilitation wording should redirect to GRI 101 Biodiversity 2024, which supersedes GRI 304."
implementasi 2024,1,needs_review,integrated water management,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> integrated water management,"Water withdrawal, water management, and effluent topics map to GRI 303 Water and Effluents 2018."
implementasi 2025,1,needs_review,water quality monitoring and zero discharge,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> water quality monitoring and zero discharge,"Water withdrawal, water management, and effluent topics map to GRI 303 Water and Effluents 2018."
implementasi 2026,1,needs_review,overburden and acid-generating material management,Other,Financial Sustainability,,Manual review -> overburden and acid-generating material management,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
